time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,town,Richter Scale,year,Depth Scale,cluster
1990-11-26 11:21:54.710000+00:00,41.087,28.459,10.0,2.5,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.2,us,usp0004hdn,2014-11-07T00:47:28.778Z,"2 km WSW of Muratbey, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.087, 28.459)","Çakıl Mahallesi, Çatalca, İstanbul, Marmara Bölgesi, 34534, Türkiye",İstanbul,Çat,Very Minor,1990,Shallow,1
1990-12-12 08:44:46.830000+00:00,38.804,27.655,10.0,2.8,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.8,us,usp0004j0y,2014-11-07T00:47:36.370Z,"10 km NE of Saruhanl?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(38.804, 27.655)","İstanbul İzmir Otoyolu, Çerkez Osmaniye, Saruhanlı, Manisa, Ege Bölgesi, Türkiye",İstanbul,Saruhanlı,Very Minor,1990,Shallow,1
1990-12-21 20:29:29.420000+00:00,38.71,27.65,10.0,2.8,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.8,us,usp0004jgt,2014-11-07T00:47:38.591Z,"7 km ESE of Saruhanl?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(38.71, 27.65)","İstanbul-İzmir Otoyolu, Develi, Saruhanlı, Manisa, Ege Bölgesi, Türkiye",İstanbul,Develi,Very Minor,1990,Shallow,1
1991-01-05 18:17:43.910000+00:00,40.823,28.604,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.3,us,usp0004k8t,2014-11-07T00:47:46.785Z,"17 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.823, 28.604)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1991,Shallow,1
1991-01-06 15:37:14.550000+00:00,40.774,28.668,10.0,2.7,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004ka8,2014-11-07T00:47:47.122Z,"23 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.774, 28.668)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1991,Shallow,1
1991-01-06 16:19:37.010000+00:00,40.763,28.623,10.0,3.3,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.5,us,usp0004kad,2014-11-07T00:47:47.191Z,"24 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.763, 28.623)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Minor,1991,Shallow,1
1991-01-07 05:26:03.250000+00:00,40.829,28.637,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.1,us,usp0004kb2,2014-11-07T00:47:47.714Z,"16 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.829, 28.637)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1991,Shallow,1
1991-01-07 05:33:07.850000+00:00,40.766,28.639,10.0,2.5,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.8,us,usp0004kb3,2014-11-07T00:47:47.716Z,"23 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.766, 28.639)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1991,Shallow,1
1991-01-07 05:54:08.850000+00:00,40.777,28.639,10.0,2.8,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004kb8,2014-11-07T00:47:47.727Z,"22 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.777, 28.639)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1991,Shallow,1
1991-01-18 21:45:12.180000+00:00,38.957,27.724,10.0,2.7,md,30.579625292740047,116.87532138024358,0.8673025404157043,1.0,us,usp0004kuz,2014-11-07T00:47:50.868Z,"5 km SE of Zeytinliova, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(38.957, 27.724)","İstanbul İzmir Otoyolu, Ballıca, Akhisar, Manisa, Ege Bölgesi, Türkiye",İstanbul,Akhisar,Very Minor,1991,Shallow,1
