,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,DeathsDeath Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,location,loc
19,1928.0,5.0,3.0,1.0,25.0,13.0,1600.0,,TURKEY:  WESTERN,40.8,26.8,,4.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,"(40.8, 26.8)","Deveci, Malkara, Tekirdağ, Marmara Bölgesi, Türkiye"
20,1929.0,5.0,18.0,6.0,37.0,0.0,,,TURKEY:  SUSEHRI,40.2,37.9,10.0,6.5,8.0,64.0,2.0,,,,,,,,,,,,,,,,,,,,,,,"(40.2, 37.9)","Yukarıağıl, Koyulhisar, Sivas, İç Anadolu Bölgesi, Türkiye"
21,1935.0,1.0,4.0,14.0,41.0,30.8,5820.0,,TURKEY,40.62,27.451,7.0,6.4,10.0,5.0,1.0,,,30.0,1.0,,3.0,,4.0,,,5.0,1.0,,,30.0,1.0,,3.0,,4.0,,,"(40.62, 27.451)","Balıkesir, Marmara Bölgesi, Türkiye"
22,1935.0,5.0,1.0,10.0,24.0,44.5,,,TURKEY:  KIGI,40.566,43.415,10.0,6.1,,540.0,3.0,,,,,,,,,,,540.0,3.0,,,,,,,,,,,"(40.566, 43.415)","Hacıveli, Kars Merkez, Kars, Doğu Anadolu Bölgesi, Türkiye"
23,1938.0,4.0,19.0,10.0,59.0,21.4,,,TURKEY:  KIRSEHIR,39.544,33.911,10.0,6.6,10.0,224.0,3.0,,,,,,3.0,,,,,224.0,3.0,,,,,,3.0,,,,,"(39.544, 33.911)","Akpınar, Kırşehir, İç Anadolu Bölgesi, Türkiye"
24,1939.0,1.0,2.0,4.0,35.0,0.0,,,TURKEY,36.3,30.7,,5.3,,,,,,,,,3.0,,,,,,,,,,,,,,,,,"(36.3, 30.7)","Akdeniz Bölgesi, Türkiye"
25,1939.0,9.0,21.0,0.0,37.0,0.0,,,TURKEY,39.1,26.8,,6.5,9.0,41.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.1, 26.8)","İzmir, Ege Bölgesi, Türkiye"
26,1939.0,11.0,21.0,8.0,43.0,0.0,,,TURKEY:  ERZINCAN,39.7,40.4,80.0,5.9,7.0,13.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.7, 40.4)","Yaylayolu, Tercan, Erzincan, Doğu Anadolu Bölgesi, Türkiye"
27,1939.0,12.0,26.0,23.0,57.0,23.8,2301.0,,TURKEY:  ERZINCAN,39.907,39.586,20.0,7.8,12.0,32700.0,4.0,,,100000.0,4.0,20.0,3.0,120000.0,4.0,,,32700.0,4.0,,,100000.0,4.0,20.0,3.0,120000.0,4.0,,,"(39.907, 39.586)","Ağlık, Gümüşhane, Karadeniz Bölgesi, Türkiye"
28,1940.0,5.0,7.0,22.0,23.0,0.0,,,TURKEY-CIS,41.7,43.8,19.0,6.0,,16.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(41.7, 43.8)","ხანდო, წალკის მუნიციპალიტეტი, ქვემო ქართლი, საქართველო"
29,1941.0,9.0,10.0,21.0,53.0,55.4,,,"TURKEY:  VAN, ERCIS",39.196,43.444,15.0,6.0,8.0,430.0,3.0,,,,,,,,,,,430.0,3.0,,,,,,,,,,,"(39.196, 43.444)","Aksakal, Van, Doğu Anadolu Bölgesi, Türkiye"
30,1941.0,11.0,12.0,10.0,4.0,0.0,,,TURKEY:  ERZINCAN,39.7,39.4,70.0,5.9,8.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,"(39.7, 39.4)","Yeni Söğütözü, Erzincan, Söğütözü, Erzincan Merkez, Erzincan, Doğu Anadolu Bölgesi, Türkiye"
