,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,DeathsDeath Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,location,loc
81,1977.0,3.0,25.0,2.0,39.0,58.2,,,TURKEY,38.56,40.02,21.0,4.9,,30.0,1.0,,,,,,3.0,,,,,30.0,1.0,,,,,,3.0,,,,,"(38.56, 40.02)","Kayahisar, Elazığ, Doğu Anadolu Bölgesi, Türkiye"
82,1978.0,2.0,15.0,3.0,17.0,37.3,,,TURKEY,39.69,39.79,33.0,4.5,,,,,,20.0,1.0,,2.0,525.0,3.0,,,,,,,,,,,,,,,"(39.69, 39.79)","Göller, Üzümlü, Erzincan, Doğu Anadolu Bölgesi, Türkiye"
83,1979.0,7.0,18.0,13.0,12.0,2.5,,,"TURKEY:  DURSUNBEY, ANATOLIA",39.672,28.66,10.0,4.9,,,,,,,,,2.0,200.0,3.0,,,,,,,,,,2.0,200.0,3.0,,,"(39.672, 28.66)","Delice, Balıkesir, Marmara Bölgesi, Türkiye"
84,1983.0,7.0,5.0,12.0,1.0,27.3,,,"TURKEY:  NW, BIGA, ERDEK, ISTANBUL",40.324,27.222,10.0,6.1,8.0,5.0,1.0,,,26.0,1.0,,2.0,,,,,5.0,1.0,,,26.0,1.0,,2.0,,,,,"(40.324, 27.222)","Tokatkırı, Biga, Çanakkale, Marmara Bölgesi, Türkiye"
85,1983.0,10.0,30.0,4.0,12.0,27.1,,,"TURKEY:  ERZURUM, KARS, KHORASAN, PASINLER, NARMAN",40.33,42.187,12.0,6.9,,1342.0,4.0,,,1142.0,4.0,25.0,4.0,,4.0,,,1342.0,4.0,,,1142.0,4.0,25.0,4.0,,4.0,,,"(40.33, 42.187)","Parmakdere, Sarıkamış, Kars, Doğu Anadolu Bölgesi, Türkiye"
86,1984.0,9.0,18.0,13.0,26.0,1.8,,,"TURKEY:  E, ERZURUM, OLUR-SENKAYA",40.885,42.219,10.0,6.4,8.0,3.0,1.0,,,38.0,1.0,,2.0,75000.0,4.0,,,3.0,1.0,,,38.0,1.0,,3.0,75000.0,4.0,,,"(40.885, 42.219)","Ekinlik, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
87,1984.0,10.0,18.0,9.0,46.0,24.6,,,"TURKEY:  E, SENKAYA",40.545,42.403,60.0,5.3,,3.0,1.0,,,35.0,1.0,,3.0,75000.0,4.0,,,3.0,1.0,,,35.0,1.0,,3.0,75000.0,4.0,,,"(40.545, 42.403)","Şenkaya - Selim Yolu, Şenkaya, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
88,1985.0,11.0,7.0,8.0,26.0,21.4,,,"TURKEY:  ERZURUM, KARS, AGRI, ARTVIN",40.31,42.307,33.0,4.2,,,,,,14.0,1.0,,2.0,113.0,3.0,,,,,,,14.0,1.0,,2.0,113.0,3.0,,,"(40.31, 42.307)","Sarıkamış - Şenkaya yolu, Yeniköy, Sarıkamış, Kars, Doğu Anadolu Bölgesi, Türkiye"
89,1986.0,5.0,5.0,3.0,35.0,38.8,,,"TURKEY:  DOGANSEHIR-GOLBASHI, KAPIDERE",37.993,37.806,10.0,5.9,,15.0,1.0,,,100.0,2.0,5.0,2.0,4000.0,4.0,,,15.0,1.0,,,100.0,2.0,5.0,2.0,4000.0,4.0,,,"(37.993, 37.806)","Kadılı Mahallesi, Doğanşehir, Malatya, Doğu Anadolu Bölgesi, Türkiye"
90,1986.0,8.0,3.0,1.0,33.0,20.3,,,"TURKEY:  YESILCE,  UCGOZE, SAM",37.2,37.3,12.0,4.1,,,,,,,,,1.0,73.0,2.0,,,,,,,,,,1.0,73.0,2.0,,,"(37.2, 37.3)","BİNA3, Adana-Şanlıurfa Otoyolu, İncesu, Şehitkamil, Gaziantep, Güneydoğu Anadolu Bölgesi, 27620, Türkiye"
91,1986.0,10.0,11.0,9.0,0.0,10.5,,,"TURKEY:  AYDIN, DENIZLI-IZMIR-MANISA",37.931,28.574,5.0,5.5,,,,,,3.0,1.0,,1.0,50.0,1.0,,,,,,,3.0,1.0,,2.0,50.0,1.0,,,"(37.931, 28.574)","İğdecik, Kuyucak, Aydın, Ege Bölgesi, Türkiye"
92,1989.0,3.0,10.0,8.0,0.0,48.7,,,"TURKEY:  ERZURUM, KARS",40.027,41.816,10.0,4.4,,,,,,,,,2.0,,,,,,,,,,,,,,,,,"(40.027, 41.816)","D955, Esendere, Pasinler, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
93,1990.0,7.0,18.0,11.0,29.0,24.9,,,"TURKEY:  CAMELI, DENIZLI",36.99,29.595,17.0,5.1,,,,,,,,,2.0,,,393.0,3.0,,,,,,,,2.0,,,393.0,3.0,"(36.99, 29.595)","Çeşme, Altınyayla yolu, Altınyayla, Burdur, Akdeniz Bölgesi, Türkiye"
94,1991.0,4.0,24.0,10.0,54.0,35.7,,,TURKEY:  ERZURUM PROVINCE,39.597,41.118,33.0,4.5,,1.0,1.0,,,3.0,1.0,,1.0,,,,2.0,1.0,1.0,,,3.0,1.0,,1.0,,,,2.0,"(39.597, 41.118)","Tekman, Erzurum, Doğu Anadolu Bölgesi, 25070, Türkiye"
95,1991.0,6.0,16.0,11.0,7.0,10.6,,,TURKEY:  KAGIZMAN,39.984,42.875,26.0,4.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.984, 42.875)","Kağızman, Kars, Doğu Anadolu Bölgesi, Türkiye"
96,1992.0,3.0,13.0,17.0,18.0,39.9,,,TURKEY:  ERZINCAN,39.71,39.605,27.0,6.9,8.0,653.0,3.0,,,2000.0,4.0,750.0,4.0,,,8057.0,4.0,653.0,3.0,,,2000.0,4.0,750.0,4.0,,,8057.0,4.0,"(39.71, 39.605)","Erzincan-Erzurum yolu, Erzincan, Hancıçiftliği, Erzincan Merkez, Erzincan, Doğu Anadolu Bölgesi, Türkiye"
97,1995.0,10.0,1.0,15.0,57.0,16.2,,,"TURKEY:   DINAR, EVCILER",38.063,30.134,33.0,6.4,8.0,95.0,2.0,,,348.0,3.0,205.8,4.0,5100.0,4.0,,,95.0,2.0,,,348.0,3.0,205.8,4.0,5100.0,4.0,,,"(38.063, 30.134)","Dinar, Afyonkarahisar, Ege Bölgesi, 03400, Türkiye"
98,1998.0,6.0,27.0,13.0,55.0,52.0,,,"TURKEY:  ADANA, CEYHAN",36.878,35.307,33.0,6.3,8.0,145.0,3.0,,,1500.0,4.0,550.0,4.0,1700.0,4.0,,,145.0,3.0,,,1500.0,4.0,550.0,4.0,1700.0,4.0,,,"(36.878, 35.307)","Yüreğir, Adana, Akdeniz Bölgesi, Türkiye"
99,1999.0,8.0,17.0,0.0,1.0,39.1,2326.0,,"TURKEY:  ISTANBUL, KOCAELI, SAKARYA",40.76,29.97,13.0,7.6,10.0,17118.0,4.0,,,50000.0,4.0,20000.0,4.0,,,73342.0,4.0,17118.0,4.0,,,50000.0,4.0,20000.0,4.0,,,73342.0,4.0,"(40.76, 29.97)","Ovacık Mahallesi, Başiskele, Kocaeli, Marmara Bölgesi, 41050, Türkiye"
100,1999.0,8.0,31.0,8.0,10.0,49.5,,,TURKEY:  IZMIT,40.711,29.949,10.0,5.2,,1.0,1.0,,,166.0,3.0,,1.0,,,,,1.0,1.0,,,166.0,3.0,,1.0,,,,,"(40.711, 29.949)","Yuvacık, Fatih Mahallesi, Başiskele, Kocaeli, Marmara Bölgesi, 41090, Türkiye"
101,1999.0,9.0,13.0,11.0,55.0,28.1,,,TURKEY:  ADAPAZARI-GOLUCK-KOCAELI,40.709,30.045,13.0,5.8,,7.0,1.0,,,422.0,3.0,,1.0,,,,,7.0,1.0,,,422.0,3.0,,1.0,,,,,"(40.709, 30.045)","Arslanbey Organize Sanayi Bölgesi, Arslanbey Mahallesi, Kartepe, Kocaeli, Marmara Bölgesi, 41320, Türkiye"
102,1999.0,11.0,11.0,14.0,41.0,25.6,,,"TURKEY:  ADAPAZARI, KOCEALI, GOLCUK",40.744,30.266,22.0,5.7,,2.0,1.0,,,171.0,3.0,,,,,,,2.0,1.0,,,171.0,3.0,,,,,,,"(40.744, 30.266)","Aşağıdereköy Mahallesi, Serdivan, Sakarya, Marmara Bölgesi, Türkiye"
103,1999.0,11.0,12.0,16.0,57.0,19.5,,,"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,10.0,7.2,9.0,894.0,3.0,,,4948.0,4.0,1000.0,4.0,,,,,894.0,3.0,,,4948.0,4.0,1000.0,4.0,,,,,"(40.758, 31.161)","Kaledibi, Düzce Merkez, Düzce, Karadeniz Bölgesi, Türkiye"
104,1999.0,12.0,3.0,17.0,6.0,54.7,,,"TURKEY:  GORESKEN, ERZURUM PROVINCE",40.358,42.346,19.0,5.7,,1.0,1.0,,,6.0,1.0,,2.0,,,340.0,3.0,1.0,1.0,,,6.0,1.0,,2.0,,,340.0,3.0,"(40.358, 42.346)","Köroğlu, Sarıkamış, Kars, Doğu Anadolu Bölgesi, Türkiye"
105,2000.0,5.0,7.0,23.0,10.0,54.1,,,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,5.0,4.1,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,2.0,,,200.0,3.0,"(38.164, 38.777)","Arguça, Tepehan Mahallesi, Pütürge, Malatya, Doğu Anadolu Bölgesi, Türkiye"
106,2000.0,6.0,6.0,2.0,41.0,49.8,,,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,10.0,6.0,7.0,2.0,1.0,,,80.0,2.0,,3.0,,,,,2.0,1.0,,,80.0,2.0,,3.0,,,4600.0,4.0,"(40.693, 32.992)","Hacılar, Çankırı, İç Anadolu Bölgesi, Türkiye"
107,2000.0,12.0,15.0,16.0,44.0,47.6,,,TURKEY:  AFYON-BOLVADIN,38.457,31.351,10.0,6.0,7.0,6.0,1.0,,,41.0,1.0,,1.0,,,,,6.0,1.0,,,41.0,1.0,,1.0,,,,2.0,"(38.457, 31.351)","Akşehir, Konya, İç Anadolu Bölgesi, Türkiye"
108,2001.0,6.0,25.0,13.0,28.0,46.5,,,TURKEY:  OSMANIYE,37.238,36.206,5.0,5.5,,,,,,130.0,3.0,,1.0,,,,,,,,,130.0,3.0,,1.0,,,66.0,2.0,"(37.238, 36.206)","Tülücüler, Osmaniye Merkez, Osmaniye, Akdeniz Bölgesi, Türkiye"
109,2002.0,2.0,3.0,7.0,11.0,28.4,,,TURKEY:  AFYON,38.573,31.271,5.0,6.5,,44.0,1.0,,,318.0,3.0,,2.0,,,,,44.0,1.0,,,318.0,3.0,,2.0,,,622.0,3.0,"(38.573, 31.271)","Sultandağı, Afyonkarahisar, Ege Bölgesi, 03940, Türkiye"
110,2003.0,1.0,27.0,5.0,26.0,23.0,,,"TURKEY:  SAGLAMTAS, PULUMUR",39.5,39.878,10.0,6.1,,1.0,1.0,,,,2.0,,1.0,,,,,1.0,1.0,,,,2.0,,1.0,,,,2.0,"(39.5, 39.878)","Erzincan-Tunceli yolu, Pülümür, Tunceli, Doğu Anadolu Bölgesi, 62700, Türkiye"
111,2003.0,4.0,10.0,0.0,40.0,15.1,,,"TURKEY:  IZMIR, SEFERIHISAR",38.221,26.958,10.0,5.7,,,,,,90.0,2.0,,2.0,,2.0,,2.0,,,,,90.0,2.0,,2.0,,2.0,,2.0,"(38.221, 26.958)","Beyler Mahallesi, Seferihisar, Ege Bölgesi, Türkiye"
112,2003.0,5.0,1.0,0.0,27.0,4.7,,,TURKEY:  BINGOL,39.007,40.464,10.0,6.4,,177.0,3.0,,,521.0,3.0,,3.0,718.0,3.0,718.0,3.0,177.0,3.0,,,521.0,3.0,,3.0,718.0,3.0,2593.0,4.0,"(39.007, 40.464)","Bingöl Merkez, Bingöl, Doğu Anadolu Bölgesi, 12000, Türkiye"
113,2003.0,7.0,26.0,1.0,0.0,57.6,,,TURKEY:  WESTERN:  BULDAN,38.111,28.887,10.0,4.5,,,,,,,2.0,,1.0,,,,,,,,,,2.0,,1.0,,,48.0,1.0,"(38.111, 28.887)","Çamköy, Buldan, Denizli, Ege Bölgesi, Türkiye"
114,2003.0,7.0,26.0,8.0,36.0,49.1,,,TURKEY:  WESTERN:  BULDAN,38.019,28.927,10.0,5.4,,,,,,10.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,10.0,1.0,,1.0,1.0,1.0,,1.0,"(38.019, 28.927)","Oğuzköy, Yenicekent, Buldan, Denizli, Ege Bölgesi, Türkiye"
115,2004.0,3.0,25.0,19.0,30.0,49.0,,,TURKEY:  ERZURUM,39.93,40.812,,5.6,,10.0,1.0,,,46.0,1.0,,1.0,45.0,1.0,45.0,1.0,10.0,1.0,,,46.0,1.0,,1.0,45.0,1.0,,,"(39.93, 40.812)","Çayköy, Aşkale, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
116,2004.0,3.0,28.0,3.0,51.0,10.0,,,TURKEY:  ASKALE,39.847,40.874,5.0,5.6,,,,,,12.0,1.0,,1.0,50.0,1.0,50.0,1.0,,,,,12.0,1.0,,1.0,50.0,1.0,,,"(39.847, 40.874)","Aşkale, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
117,2004.0,7.0,1.0,22.0,30.0,9.3,,,TURKEY:  DOGUBEYAZIT,39.766,43.979,5.0,5.1,,18.0,1.0,,,21.0,1.0,,,,,,,18.0,1.0,,,21.0,1.0,,,,,,,"(39.766, 43.979)","Kalaycı, Iğdır Merkez, Iğdır, Doğu Anadolu Bölgesi, Türkiye"
118,2004.0,7.0,30.0,7.0,14.0,7.8,,,TURKEY:  DOGUBEYAZIT,39.634,43.966,5.0,4.0,,1.0,1.0,,,5.0,1.0,,1.0,,,,,1.0,1.0,,,5.0,1.0,,1.0,,,,2.0,"(39.634, 43.966)","mezra, Doğubayazıt, Ağrı, Doğu Anadolu Bölgesi, 04400, Türkiye"
119,2004.0,8.0,4.0,3.0,1.0,7.5,,,TURKEY:  BODRUM,36.833,27.815,10.0,5.6,,,,,,15.0,1.0,,,,,,,,,,,15.0,1.0,,,,,,,"(36.833, 27.815)","Muğla, Ege Bölgesi, Türkiye"
120,2004.0,8.0,11.0,15.0,48.0,26.8,,,"TURKEY:  ELAZIG, SIVRICE",38.377,39.261,7.0,5.7,,1.0,1.0,,,11.0,1.0,,1.0,,,,,1.0,1.0,,,11.0,1.0,,1.0,,,,,"(38.377, 39.261)","Yukarı Çanakçı, Elazığ, Doğu Anadolu Bölgesi, Türkiye"
121,2004.0,12.0,20.0,23.0,2.0,12.4,,,TURKEY:  MARMARIS,37.042,28.206,5.0,5.4,,,,,,3.0,1.0,,1.0,,,,,,,,,3.0,1.0,,1.0,,,,,"(37.042, 28.206)","Akyaka - Kultak Yolu, Menteşe, Ege Bölgesi, Türkiye"
122,2005.0,1.0,25.0,16.0,44.0,16.1,,,TURKEY:  HAKKARI,37.622,43.703,41.0,5.9,,2.0,1.0,,,22.0,1.0,,1.0,,,,,2.0,1.0,,,22.0,1.0,,1.0,,,,,"(37.622, 43.703)","Hakkari Merkez, Hakkâri, Doğu Anadolu Bölgesi, Türkiye"
123,2005.0,3.0,12.0,7.0,36.0,12.1,,,"TURKEY:  CAT, KARLIOVA",39.44,40.978,11.0,5.6,,,,,,16.0,1.0,,2.0,,,,,,,,,16.0,1.0,,2.0,,,,,"(39.44, 40.978)","Harmantepe, Bingöl, Doğu Anadolu Bölgesi, Türkiye"
124,2005.0,3.0,14.0,1.0,55.0,55.6,,,TURKEY:  EASTERN:  BINGOL PROVINCE,39.354,40.89,5.0,5.8,,,,,,18.0,1.0,,3.0,,2.0,,2.0,,,,,18.0,1.0,,3.0,,2.0,,,"(39.354, 40.89)","Kazanlı, Bingöl, Doğu Anadolu Bölgesi, Türkiye"
125,2005.0,7.0,30.0,21.0,45.0,0.0,,,"TURKEY:  BAHCEKARADALAK, SIRAPINAR, YENIYAPANSEYHLI",39.437,33.089,5.0,5.3,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,"(39.437, 33.089)","Ankara, İç Anadolu Bölgesi, 06720, Türkiye"
126,2005.0,10.0,20.0,21.0,40.0,4.0,,,TURKEY:  IZMIR,38.152,26.751,10.0,5.9,,1.0,1.0,,,15.0,1.0,,1.0,,2.0,,2.0,1.0,1.0,,,15.0,1.0,,1.0,,2.0,,,"(38.152, 26.751)","İzmir, Ege Bölgesi, Türkiye"
127,2005.0,11.0,26.0,15.0,56.0,55.0,,,TURKEY:  DOGANYOL,38.26,38.814,9.0,4.4,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,"(38.26, 38.814)","Aktarla Mahallesi, Pütürge, Malatya, Doğu Anadolu Bölgesi, Türkiye"
128,2005.0,12.0,24.0,3.0,56.0,7.3,,,TURKEY:  AKHISAR,38.804,26.783,14.0,4.3,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,"(38.804, 26.783)","İzmir, Ege Bölgesi, Türkiye"
129,2006.0,6.0,3.0,11.0,7.0,45.0,,,TURKEY:  HAKKARI,37.605,43.787,10.0,4.1,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,"(37.605, 43.787)","Hakkari Merkez, Hakkâri, Doğu Anadolu Bölgesi, 30000, Türkiye"
130,2007.0,1.0,21.0,7.0,38.0,57.0,,,TURKEY:  E,39.592,42.863,3.0,5.1,,,,,,2.0,1.0,,1.0,,,,,,,,,2.0,1.0,,1.0,,,,,"(39.592, 42.863)","Otluca, Ağrı, Doğu Anadolu Bölgesi, Türkiye"
131,2007.0,2.0,21.0,11.0,5.0,29.2,,,"TURKEY:  DOGANKOY, PUTURGE, SIVRICE",38.318,39.267,10.0,5.7,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,"(38.318, 39.267)","Ekinli, Çüngüş, Diyarbakır, Güneydoğu Anadolu Bölgesi, Türkiye"
132,2007.0,12.0,20.0,9.0,48.0,29.9,,,"TURKEY:  CENTRAL:  YENIYAPAN, ABAZLAR, SUYUGUZEL",39.417,33.212,10.0,5.7,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,"(39.417, 33.212)","Ankara, İç Anadolu Bölgesi, 06720, Türkiye"
133,2007.0,12.0,26.0,23.0,47.0,10.7,,,TURKEY:  CENTRAL:  ANKARA,39.446,33.162,8.0,5.6,,,,,,,,,3.0,2214.0,4.0,2214.0,4.0,,,,,,,,3.0,2214.0,4.0,,,"(39.446, 33.162)","Balâ, Ankara, İç Anadolu Bölgesi, 06720, Türkiye"
134,2008.0,9.0,3.0,2.0,22.0,47.0,,,TURKEY:  ADIYAMAN,37.507,38.503,6.0,4.1,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,"(37.507, 38.503)","Samsat, Adıyaman, Güneydoğu Anadolu Bölgesi, Türkiye"
135,2010.0,3.0,8.0,2.0,32.0,34.7,,,"TURKEY:  ELAZIG PROVINCE:  OKCULAR, YUKARI DEMIRCI",38.864,39.986,12.0,6.1,,51.0,2.0,,,100.0,2.0,,2.0,287.0,3.0,287.0,3.0,51.0,2.0,,,100.0,2.0,,2.0,287.0,3.0,700.0,3.0,"(38.864, 39.986)","Aşağı Ovacık, Elazığ, Doğu Anadolu Bölgesi, Türkiye"
136,2011.0,5.0,19.0,21.0,12.0,51.0,,,TURKEY:  SIMAV,39.12,29.04,7.0,4.3,,2.0,1.0,,,125.0,3.0,,1.0,,,,2.0,2.0,1.0,,,125.0,3.0,,1.0,,,,2.0,"(39.12, 29.04)","Kozanlar, Simav, Kütahya, Ege Bölgesi, Türkiye"
137,2011.0,10.0,23.0,10.0,41.0,22.9,,,"TURKEY:  ERCIS, VAN",38.722,43.513,16.0,7.1,,604.0,3.0,,,2608.0,4.0,1500.0,4.0,5739.0,4.0,4882.0,4.0,604.0,3.0,,,2608.0,4.0,1500.0,4.0,5739.0,4.0,4882.0,4.0,"(38.722, 43.513)","Akçaören, Van, Doğu Anadolu Bölgesi, Türkiye"
138,2011.0,11.0,9.0,19.0,23.0,33.2,,,TURKEY:  VAN,38.429,43.229,5.0,5.7,,40.0,1.0,,,,,,1.0,,1.0,,,40.0,1.0,,,,,,1.0,,1.0,,,"(38.429, 43.229)","Eski Cami Mah., Edremit, Van, Doğu Anadolu Bölgesi, Türkiye"
139,2012.0,6.0,10.0,12.0,44.0,16.5,,,TURKEY:  FETHIYE; GREECE:  RHODES,36.42,28.88,35.0,6.1,,,,,,6.0,1.0,,1.0,,,,2.0,,,,,6.0,1.0,,1.0,,,,2.0,"(36.42, 28.88)",Türkiye
140,2012.0,6.0,14.0,5.0,52.0,53.6,,,TURKEY:  SIRNAK,37.294,42.325,5.0,5.3,,,,,,23.0,1.0,,1.0,,,25.0,1.0,,,,,23.0,1.0,,1.0,,,25.0,1.0,"(37.294, 42.325)","Cizre, Şırnak, Güneydoğu Anadolu Bölgesi, Türkiye"
141,2017.0,2.0,6.0,3.0,52.0,4.0,,,TURKEY:  CANAKKALE,39.599,26.065,10.0,5.3,,,,,,5.0,1.0,,2.0,,,90.0,2.0,,,,,5.0,1.0,,2.0,,,90.0,2.0,"(39.599, 26.065)","Çanakkale, Marmara Bölgesi, Türkiye"
142,2017.0,5.0,28.0,11.0,4.0,37.0,,,"TURKEY: MANISA: SARUHANLI, GOLMARMARA",38.764,27.778,3.0,4.9,,,,,,,,,2.0,,,35.0,1.0,,,,,,,,2.0,,,35.0,1.0,"(38.764, 27.778)","Kumkuyucak, Saruhanlı, Manisa, Ege Bölgesi, Türkiye"
143,2017.0,7.0,20.0,22.0,31.0,26.0,5655.0,,"TURKEY: BODRUM, DATCA; GREECE: KOS",36.929,27.414,7.0,6.6,7.0,2.0,1.0,,,500.0,3.0,,2.0,,1.0,,1.0,2.0,1.0,,,500.0,3.0,,2.0,,1.0,,1.0,"(36.929, 27.414)","Muğla, Ege Bölgesi, Türkiye"
144,2018.0,4.0,24.0,0.0,34.0,18.0,,,TURKEY:  ADIYAMAN,37.596,38.514,10.0,5.2,,,,,,39.0,1.0,,1.0,,,,1.0,,,,,39.0,1.0,,1.0,,,,1.0,"(37.596, 38.514)","Ağa, Samsat, Adıyaman, Güneydoğu Anadolu Bölgesi, Türkiye"
145,2019.0,8.0,8.0,11.0,25.0,31.0,,,TURKEY:  DENIZLI,37.948,29.697,10.0,5.8,,,,,,,1.0,,2.0,,,976.0,3.0,,,,,,1.0,,2.0,,,976.0,3.0,"(37.948, 29.697)","Dazkırı, Bozkurt, Denizli, Ege Bölgesi, Türkiye"
146,2019.0,9.0,26.0,10.0,59.0,26.0,,,TURKEY:  ISTANBUL,40.89,28.173,10.0,5.7,,1.0,1.0,,,34.0,1.0,,2.0,,,473.0,3.0,1.0,1.0,,,34.0,1.0,,2.0,,,473.0,3.0,"(40.89, 28.173)","İstanbul, Marmara Bölgesi, Türkiye"
147,2020.0,1.0,24.0,17.0,55.0,14.0,,,TURKEY:  ELAZIG AND MALATYA PROVINCES,38.39,39.081,12.0,6.7,,41.0,1.0,,,1600.0,4.0,,4.0,76.0,2.0,,4.0,41.0,1.0,,,1600.0,4.0,,4.0,76.0,2.0,,4.0,"(38.39, 39.081)","Kalaba, Elazığ, Doğu Anadolu Bölgesi, Türkiye"
148,2020.0,6.0,14.0,14.0,24.0,29.0,,,TURKEY:  BINGOL,39.421,40.697,10.0,5.9,,1.0,1.0,,,35.0,1.0,,2.0,,,,1.0,1.0,1.0,,,35.0,1.0,,2.0,,,,1.0,"(39.421, 40.697)","Söbeçayır, Çat, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
149,2020.0,6.0,25.0,10.0,3.0,31.0,,,TURKEY:  VAN,38.558,44.023,10.0,5.4,,,,,,5.0,1.0,,2.0,,,90.0,2.0,,,,,5.0,1.0,,2.0,,,90.0,2.0,"(38.558, 44.023)","Aşkın, Özalp, Van, Doğu Anadolu Bölgesi, Türkiye"
150,2020.0,10.0,30.0,11.0,51.0,27.0,5757.0,,GREECE:  SAMOS; TURKEY:  IZMIR,37.918,26.79,21.0,7.0,8.0,117.0,3.0,,,1054.0,4.0,400.0,4.0,,2.0,,4.0,118.0,3.0,,,1054.0,4.0,400.0,4.0,,2.0,,4.0,"(37.918, 26.79)",Ελλάς
151,2023.0,2.0,6.0,1.0,17.0,35.0,5873.0,,TURKEY; SYRIA,37.166,37.042,17.0,7.8,9.0,51882.0,4.0,,,119200.0,4.0,39300.0,4.0,166581.0,4.0,,4.0,51882.0,4.0,,,119200.0,4.0,39300.0,4.0,166581.0,4.0,,4.0,"(37.166, 37.042)","Gaziantep-Osmaniye yolu, Şehitkamil, Gaziantep, Güneydoğu Anadolu Bölgesi, Türkiye"
152,2023.0,2.0,6.0,10.0,24.0,49.0,,,TURKEY; SYRIA,38.024,37.203,10.0,7.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,"(38.024, 37.203)","Tepeoba, Ekinözü, Kahramanmaraş, Akdeniz Bölgesi, 46360, Türkiye"
153,2023.0,2.0,20.0,17.0,4.0,29.0,,,TURKEY; SYRIA,36.109,36.017,16.0,6.3,9.0,6.0,1.0,,,200.0,3.0,,,,,,,6.0,1.0,,,200.0,3.0,,,,,,,"(36.109, 36.017)","Koyunoğlu, Samandağ, Hatay, Akdeniz Bölgesi, 31855, Türkiye"
154,2023.0,2.0,27.0,9.0,4.0,51.0,,,TURKEY:  MALATYA,38.229,38.283,10.0,5.2,7.0,2.0,1.0,,,140.0,3.0,,2.0,31.0,1.0,,,2.0,,,,140.0,3.0,,2.0,31.0,1.0,,,"(38.229, 38.283)","Kozluk Mahallesi, Yeşilyurt, Malatya, Doğu Anadolu Bölgesi, Türkiye"
